movieId,title,genres
1,肖申克的救赎 The Shawshank Redemption (1994),剧情|犯罪
2,霸王别姬 (1993),剧情|爱情|同性
3,泰坦尼克号 Titanic (1997),剧情|爱情|灾难
4,阿甘正传 Forrest Gump (1994),剧情|爱情
5,千与千寻 千と千尋の神隠し (2001),剧情|动画|奇幻
6,美丽人生 La vita è bella (1997),剧情|喜剧|爱情|战争
7,星际穿越 Interstellar (2014),剧情|科幻|冒险
8,这个杀手不太冷 Léon (1994),剧情|动作|犯罪
9,盗梦空间 Inception (2010),剧情|科幻|悬疑|冒险
10,楚门的世界 The Truman Show (1998),剧情|科幻
11,辛德勒的名单 Schindler's List (1993),剧情|历史|战争
12,忠犬八公的故事 Hachi: A Dog's Tale (2009),剧情
13,海上钢琴师 La leggenda del pianista sull'oceano (1998),剧情|音乐
14,疯狂动物城 Zootopia (2016),喜剧|动画|冒险
15,三傻大闹宝莱坞 3 Idiots (2009),剧情|喜剧|爱情|歌舞
16,机器人总动员 WALL·E (2008),科幻|动画|冒险
17,放牛班的春天 Les choristes (2004),剧情|音乐
18,无间道 無間道 (2002),剧情|惊悚|犯罪
19,控方证人 Witness for the Prosecution (1957),剧情|悬疑|惊悚|犯罪
20,大话西游之大圣娶亲 西遊記大結局之仙履奇緣 (1995),喜剧|爱情|奇幻|古装
21,熔炉 도가니 (2011),剧情
22,寻梦环游记 Coco (2017),喜剧|动画|音乐|奇幻
23,触不可及 Intouchables (2011),剧情|喜剧
24,教父 The Godfather (1972),剧情|犯罪
25,当幸福来敲门 The Pursuit of Happyness (2006),剧情|家庭|传记
26,末代皇帝 The Last Emperor (1987),剧情|传记|历史
27,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone (2001),奇幻|冒险
28,龙猫 となりのトトロ (1988),动画|奇幻|冒险
29,活着 (1994),剧情|家庭|历史
30,怦然心动 Flipped (2010),剧情|喜剧|爱情
31,蝙蝠侠：黑暗骑士 The Dark Knight (2008),剧情|动作|科幻|惊悚|犯罪
32,指环王3：王者无敌 The Lord of the Rings: The Return of the King (2003),剧情|动作|奇幻|冒险
33,我不是药神 (2018),剧情|喜剧
34,乱世佳人 Gone with the Wind (1939),剧情|爱情|历史|战争
35,飞屋环游记 Up (2009),剧情|喜剧|动画|冒险
36,让子弹飞 (2010),剧情|喜剧|动作|西部
37,哈尔的移动城堡 ハウルの動く城 (2004),爱情|动画|奇幻|冒险
38,十二怒汉 12 Angry Men (1957),剧情
39,海蒂和爷爷 Heidi (2015),剧情|家庭|冒险
40,素媛 소원 (2013),剧情
41,猫鼠游戏 Catch Me If You Can (2002),剧情|传记|犯罪
42,天空之城 天空の城ラピュタ (1986),动画|奇幻|冒险
43,鬼子来了 (2000),剧情|喜剧
44,摔跤吧！爸爸 Dangal (2016),剧情|家庭|传记|运动
45,少年派的奇幻漂流 Life of Pi (2012),剧情|奇幻|冒险
46,钢琴家 The Pianist (2002),剧情|音乐|传记|战争
47,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers (2002),剧情|动作|奇幻|冒险
48,死亡诗社 Dead Poets Society (1989),剧情
49,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒 (1995),喜剧|爱情|奇幻|古装
50,何以为家 كفرناحوم (2018),剧情
51,绿皮书 Green Book (2018),剧情|喜剧|音乐|传记
52,闻香识女人 Scent of a Woman (1992),剧情
53,大闹天宫 (1961),剧情|动画|奇幻|古装
54,黑客帝国 The Matrix (1999),动作|科幻
55,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring (2001),剧情|动作|奇幻|冒险
56,罗马假日 Roman Holiday (1953),剧情|喜剧|爱情
57,教父2 The Godfather: Part II (1974),剧情|犯罪
58,狮子王 The Lion King (1994),动画|歌舞|冒险
59,天堂电影院 Nuovo Cinema Paradiso (1988),剧情|爱情
60,饮食男女 飲食男女 (1994),剧情|家庭
61,辩护人 변호인 (2013),剧情
62,本杰明·巴顿奇事 The Curious Case of Benjamin Button (2008),剧情|爱情|奇幻
63,搏击俱乐部 Fight Club (1999),剧情|动作|悬疑|惊悚
